expid_x,peakid,host,nation,season,citizen,myear,sherpa,tibetan,heightm,himal,location,phost,region,pkname,pseason,pmonth
EVER01135,EVER,Nepal,Belgium,Winter,Nepal,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01135,EVER,Nepal,Belgium,Winter,Nepal,2001,True,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01136,EVER,Nepal,Belgium,Winter,Spain,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01136,EVER,Nepal,Belgium,Winter,Nepal,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01137,EVER,Nepal,Belgium,Winter,Spain,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01137,EVER,Nepal,Belgium,Winter,Nepal,2001,True,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01138,EVER,Nepal,Belgium,Winter,UK,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01139,EVER,Nepal,Belgium,Winter,Brazil,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01140,EVER,Nepal,Belgium,Winter,Japan,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01141,EVER,Nepal,Belgium,Winter,Nepal,2001,True,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01142,EVER,Nepal,Belgium,Winter,Georgia,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01142,EVER,Nepal,Belgium,Winter,Nepal,2001,True,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01144,EVER,Nepal,Belgium,Winter,Singapore,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
